"total distance of drones";"distance per drone";"tick"
8092.885375053544;1011.610671881693;1093.0
8114.607007691991;1014.3258759614989;1095.0
8136.387289183327;1017.0484111479159;1097.0
8158.193882946719;1019.7742353683399;1099.0
8179.102977905048;1022.387872238131;1101.0
8200.20103030742;1025.0251287884275;1103.0
8221.23451888793;1027.6543148609912;1105.0
8241.91195737726;1030.2389946721576;1107.0
8261.048673695343;1032.6310842119178;1109.0
8279.938635202865;1034.9923294003581;1111.0
8297.488280304122;1037.1860350380152;1113.0
8315.31062299092;1039.413827873865;1115.0
8332.715173708782;1041.5893967135978;1117.0
8350.59375113444;1043.824218891805;1119.0
8367.69431498101;1045.9617893726263;1121.0
8385.106028495953;1048.1382535619941;1123.0
8402.146794915736;1050.268349364467;1125.0
8418.558843509989;1052.3198554387486;1127.0
8433.811735149862;1054.2264668937328;1129.0
8449.193809164832;1056.149226145604;1131.0
8463.959516594998;1057.9949395743747;1133.0
8479.031486144399;1059.8789357680498;1135.0
8493.894726820135;1061.736840852517;1137.0
8509.14836552538;1063.6435456906725;1139.0
8524.38978545905;1065.5487231823813;1141.0
8539.362286735683;1067.4202858419603;1143.0
8553.757062596316;1069.2196328245395;1145.0
8568.607393660137;1071.0759242075171;1147.0
8584.417976201301;1073.0522470251626;1149.0
8601.240625259317;1075.1550781574147;1151.0
8617.952385185801;1077.2440481482251;1153.0
8635.178676306;1079.39733453825;1155.0
8653.570162430027;1081.6962703037534;1157.0
8673.230517653506;1084.1538147066883;1159.0
8694.202826397535;1086.775353299692;1161.0
8716.70417876644;1089.588022345805;1163.0
8739.41335781223;1092.4266697265286;1165.0
8762.591171637003;1095.3238964546254;1167.0
8785.701726746085;1098.2127158432606;1169.0
8808.81845590919;1101.1023069886487;1171.0
8832.459009534396;1104.0573761917994;1173.0
8856.593660726969;1107.074207590871;1175.0
8881.12019510181;1110.1400243877263;1177.0
8905.364989855003;1113.1706237318754;1179.0
8928.352342714603;1116.0440428393254;1181.0
8951.135391261287;1118.8919239076608;1183.0
8973.929932313835;1121.7412415392293;1185.0
8996.48490307788;1124.560612884735;1187.0
9018.712680423589;1127.3390850529486;1189.0
9040.69108700589;1130.0863858757361;1191.0
9063.42883532405;1132.9286044155062;1193.0
9086.768049316232;1135.846006164529;1195.0
9110.875087878945;1138.8593859848681;1197.0
9135.426076806567;1141.9282596008209;1199.0
9160.653711287447;1145.0817139109308;1201.0
9186.517572062132;1148.3146965077665;1203.0
9212.171797944025;1151.5214747430032;1205.0
9237.045212239262;1154.6306515299077;1207.0
9262.191526929453;1157.7739408661816;1209.0
9286.255836002863;1160.781979500358;1211.0
9309.436607062667;1163.6795758828334;1213.0
9331.547965842932;1166.4434957303665;1215.0
9352.572460714659;1169.0715575893323;1217.0
9372.909872928854;1171.6137341161068;1219.0
9392.152155809097;1174.0190194761371;1221.0
9410.809768655885;1176.3512210819856;1223.0
9428.953315846316;1178.6191644807895;1225.0
9447.208973421084;1180.9011216776355;1227.0
9464.791075539775;1183.098884442472;1229.0
9482.602550797848;1185.325318849731;1231.0
9501.559305720406;1187.6949132150507;1233.0
9521.465498682639;1190.1831873353299;1235.0
9541.67650042479;1192.7095625530987;1237.0
9563.03355516173;1195.3791943952162;1239.0
